,Day,Rainfall,Runoff + excess,Crop water uptake,Soil moisture,Percolation of ground water
0,2022-06-01,0.0,0,0,0,0
1,2022-06-02,0.0,0.0,0.0,0.0,0.0
2,2022-06-03,0.0,0.0,0.0,0.0,0.0
3,2022-06-04,0.0,0.0,0.0,0.0,0.0
4,2022-06-05,0.0,0.0,0.0,0.0,0.0
5,2022-06-06,0.0,0.0,0.0,0.0,0.0
6,2022-06-07,0.0,0.0,0.0,0.0,0.0
7,2022-06-08,5.25,1.05,4,0.16666666666666682,0.03333333333333337
8,2022-06-09,2.25,0.45,1.966666666666667,0.0,0.0
9,2022-06-10,0.0,0.0,0.0,0.0,0.0
10,2022-06-11,0.0,0.0,0.0,0.0,0.0
11,2022-06-12,8.0,1.6,4,2.0000000000000004,0.40000000000000013
12,2022-06-13,27.0,8.1,4,14.083333333333332,2.8166666666666664
13,2022-06-14,0.0,0.0,4,8.402777777777777,1.6805555555555554
14,2022-06-15,0.0,0.0,4,3.668981481481481,0.7337962962962963
15,2022-06-16,0.0,0.0,3.668981481481481,0.0,0.0
16,2022-06-17,0.75,0.15000000000000002,0.6,0.0,0.0
17,2022-06-18,0.0,0.0,0.0,0.0,0.0
18,2022-06-19,0.75,0.15000000000000002,0.6,0.0,0.0
19,2022-06-20,1.25,0.25,1.0,0.0,0.0
20,2022-06-21,6.5,1.3,4,1.0000000000000002,0.20000000000000007
21,2022-06-22,43.5,13.049999999999999,4,22.875000000000004,4.575000000000001
22,2022-06-23,1.0,0.2,4,16.39583333333334,3.279166666666668
23,2022-06-24,6.75,1.35,4,14.829861111111116,2.9659722222222236
24,2022-06-25,0.25,0.05,4,9.19155092592593,1.838310185185186
25,2022-06-26,0.0,0.0,4,4.326292438271608,0.8652584876543217
26,2022-06-27,16.75,3.35,4,11.438577031893006,2.2877154063786014
27,2022-06-28,0.25,0.05,4,6.365480859910838,1.2730961719821678
28,2022-06-29,0.0,0.0,4,1.9712340499256986,0.3942468099851397
29,2022-06-30,0.5,0.1,2.3712340499256985,0.0,0.0
30,2022-07-01,1.75,0.35000000000000003,1.4,0.0,0.0
31,2022-07-02,0.0,0.0,0.0,0.0,0.0
32,2022-07-03,0.0,0.0,0.0,0.0,0.0
33,2022-07-04,2.0,0.4,1.6,0.0,0.0
34,2022-07-05,1.25,0.25,1.0,0.0,0.0
35,2022-07-06,0.0,0.0,0.0,0.0,0.0
36,2022-07-07,10.25,2.0500000000000003,4,3.4999999999999996,0.7
37,2022-07-08,22.25,4.45,4,14.416666666666668,2.8833333333333337
38,2022-07-09,7.75,1.55,4,13.847222222222223,2.769444444444445
39,2022-07-10,23.25,4.65,4,23.70601851851852,4.741203703703704
40,2022-07-11,16.0,3.2,4,27.088348765432098,5.41766975308642
41,2022-07-12,1.5,0.30000000000000004,4,20.24029063786008,4.048058127572016
42,2022-07-13,9.5,1.9000000000000001,4,19.866908864883403,3.9733817729766807
43,2022-07-14,1.0,0.2,4,13.88909072073617,2.7778181441472345
44,2022-07-15,2.25,0.45,4,9.74090893394681,1.9481817867893623
45,2022-07-16,0.0,0.0,4,4.784090778289009,0.9568181556578019
46,2022-07-17,14.25,2.85,4,10.153408981907507,2.0306817963815016
47,2022-07-18,12.75,2.5500000000000003,4,13.627840818256256,2.7255681636512517
48,2022-07-19,11.75,2.35,4,15.856534015213546,3.171306803042709
49,2022-07-20,1.75,0.35000000000000003,4,11.047111679344622,2.2094223358689247
50,2022-07-21,0.25,0.05,4,6.039259732787185,1.207851946557437
51,2022-07-22,0.5,0.1,4,2.0327164439893215,0.40654328879786433
52,2022-07-23,3.25,0.65,4,0.5272637033244343,0.10545274066488686
53,2022-07-24,6.25,1.25,4,1.2727197527703624,0.2545439505540725
54,2022-07-25,0.5,0.1,1.6727197527703623,0.0,0.0
55,2022-07-26,3.0,0.6000000000000001,2.4,0.0,0.0
